date,title,content,category,sentiment,sentiment_score,count,source
2024-06-01,"Pemerintah Luncurkan Program AI Nasional","Pemerintah umumkan strategi nasional AI untuk ekonomi digital","Teknologi","positif",0.88,10,"detik.com"
2024-06-01,"Cuaca Ekstrem Melanda Jakarta","Hujan deras dan angin kencang menyebabkan banjir di beberapa wilayah","Lingkungan","negatif",-0.65,6,"kompas.com"
2024-06-02,"BI Naikkan Suku Bunga Acuan","Bank Indonesia menaikkan suku bunga untuk tekan inflasi","Ekonomi","netral",0.02,7,"cnnindonesia.com"
2024-06-02,"Kebijakan Baru Pajak Digital","Pemerintah keluarkan aturan pajak digital untuk startup","Ekonomi","positif",0.77,4,"bisnis.com"
2024-06-03,"Demo Mahasiswa Tolak Kenaikan BBM","Ribuan mahasiswa turun ke jalan protes kenaikan harga BBM","Politik","negatif",-0.85,15,"tempo.co"
2024-06-03,"Startup Lokal Raih Pendanaan Seri B","Startup bidang edutech raih investasi 5 juta USD","Teknologi","positif",0.93,3,"detik.com"
2024-06-04,"WHO Umumkan Status Endemi COVID-19","WHO menyatakan pandemi sudah berakhir, masuk fase endemi","Kesehatan","positif",0.81,8,"kompas.com"
2024-06-04,"Penemuan Plastik di Sungai Besar","Peneliti temukan mikroplastik di sungai utama Jakarta","Lingkungan","negatif",-0.71,2,"cnnindonesia.com"
2024-06-05,"Pilkada Serentak 2024 Dimulai","KPU resmikan tahapan pilkada serentak seluruh Indonesia","Politik","netral",0.05,9,"detik.com"
2024-06-05,"Penyuluhan Stunting Nasional","Pemerintah gelar program edukasi stunting untuk ibu hamil","Kesehatan","positif",0.62,4,"kompas.com"
2024-06-06,"Teknologi 5G Perluasan Jaringan","Operator telekomunikasi ekspansi 5G ke 10 kota baru","Teknologi","positif",0.72,7,"cnnindonesia.com"
2024-06-06,"Nilai Tukar Rupiah Menguat","Rupiah menguat terhadap dolar AS sepekan terakhir","Ekonomi","positif",0.48,5,"bisnis.com"
2024-06-07,"Banjir Bandang di Aceh","Banjir bandang rusak rumah dan infrastruktur di Aceh Tengah","Lingkungan","negatif",-0.83,11,"tempo.co"
2024-06-07,"Kasus DBD Naik di Musim Hujan","Kasus Demam Berdarah capai rekor di Jakarta Barat","Kesehatan","negatif",-0.67,6,"detik.com"
2024-06-08,"Aksi Sosial Bersih Pantai","Komunitas muda gelar bersih-bersih pantai di Bali","Lingkungan","positif",0.63,2,"kompas.com"
2024-06-08,"Pariwisata Bali Pulih Pascapandemi","Kunjungan turis asing ke Bali naik signifikan","Ekonomi","positif",0.82,8,"cnnindonesia.com"
2024-06-09,"Kerjasama Ekonomi Indonesia-Jepang","Indonesia tandatangani MoU perdagangan dengan Jepang","Ekonomi","positif",0.74,4,"bisnis.com"
2024-06-09,"Kecelakaan Lalu Lintas Tol Cipali","Tabrakan beruntun di tol Cipali, 3 orang tewas","Umum","negatif",-0.79,3,"tempo.co"
2024-06-10,"Pengembangan Mobil Listrik Nasional","Industri otomotif siap produksi mobil listrik dalam negeri","Teknologi","positif",0.86,5,"detik.com"
2024-06-10,"Rencana Pemerintah Ubah Skema Subsidi BBM","Subsidi BBM dialihkan ke bantuan langsung tunai","Politik","netral",-0.01,7,"kompas.com"
2024-06-11,"Kasus Korupsi Proyek Infrastruktur","KPK tetapkan tersangka baru kasus korupsi jalan tol","Politik","negatif",-0.92,2,"cnnindonesia.com"
